jaar,patientgroep,Provincie,geslacht,leeftijdsklasse,dialysevorm,dialysevorm_sub,prevalentie_abs,prevalentie_rel,prevalentie_rel_std,incidentie_dag1_abs,incidentie_dag1_rel,incidentie_dag1_rel_std,incidentie_dag91_abs,incidentie_dag91_rel,incidentie_dag91_rel_std,Aantal_patienten_kosten,Zorgkosten_totaal,Zorgkosten_eerstelijns,Zorgkosten_medicatie,Zorgkosten_ziekenvervoer,Zorgkosten_GGZ,Zorgkosten_overig,Zorgkosten_DBC_RRT,Zorgkosten_DBC_overig,Zorgkosten_DBC_totaal,Noemer_overige_themas,Aantal_specialist,Pct_specialist,Aantal_cardioloog,Pct_cardioloog,Aantal_internist,Pct_internist,Aantal_dermatoloog,Pct_dermatoloog,Aantal_chirurg,Pct_chrirug,Aantal_fysiotherapeut,Pct_fysiotherapeut,Aantal_dietist,pct_dietist,Aantal_shuntinterventies,Pct_shuntinterventies,Aantal_screening_transplantatie,Pct_screening_transplantatie,Aantal_intensive_care,Pct_intensive_care,Aantal_dialyse_intensive_care,Pct_dialyse_intensive_care,Aantal_antihypertensiva_RAAS,Pct_antihypertensiva_RAAS,Aantal_antihyp_ACE_remmers,Pct_antihyp_ACE_remmers,Aantal_diabetesmed_insuline,Pct_diabetesmed_insuline,Aantal_diabetesmed_overig,Pct_diabetesmed_overig,Aantal_lipid_statine,Pct_lipid_statine,Aantal_lipid_overig,Pct_lipid_overig,Aantal_antidepressiva,Pct_antidepressiva,Aantal_slaapmedicatie,Pct_slaapmedicatie,Aantal_antistolling,Pct_antistolling,Aantal_overlijden,pct_overlijden,Aantal_procedure_vaatlijden,Pct_procedure_vaatlijden,Aantal_SEH,pct_seh,Aantal_polikliniek,Pct_polikliniek,Aantal_opname,pct_opname,Aantal_diabetes,Pct_diabetes,Aantal_maligniteit,pct_maligniteit,Aantal_macrovasculair,pct_macrovasculair,Aantal_coronair,pct_coronair,Aantal_perif_art_vaatl,Pct_perif_art_vaatl,Aantal_CVA_TIA,Pct_CVA_TIA,Aantal_hypertensie,pct_hypertensie
,Dialyse,Alle,M+V,Alle (20+),Alle,Alle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dialyse,Alle,M+V,Alle (20+),Alle,Alle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dialyse,Alle,M+V,Alle (20+),Alle,Alle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Dialyse,Alle,M+V,Alle (20+),Alle,Alle,6247,489,,,,,,,,,,,,,,,,,,6247,5848,93.61%,3338,57.08%,3450,58.99%,1315,22.49%,2371,40.54%,451,7.22%,,,,,,,729,11.67%,205,28.12%,3142,50.30%,1787,28.61%,1363,21.82%,546,8.74%,3252,52.06%,158,2.53%,749,11.99%,577,9.24%,4195,67.15%,951,15.22%,,,,,,,,,,,786,12.58%,1750,28.01%,962,15.40%,833,13.33%,207,3.31%,5482,87.75%
2012,Dialyse,Alle,M+V,Alle (20+),Hemodialyse (HD),Alle subvormen HD,5262,413,,,,,,,,,,,,,,,,,,5270,4948,93.89%,2832,57.24%,2925,59.11%,1115,22.53%,2055,41.53%,392,7.44%,,,,,,,664,12.60%,188,28.31%,2510,47.63%,1424,27.02%,1167,22.14%,467,8.86%,2698,51.20%,135,2.56%,658,12.49%,519,9.85%,3653,69.32%,818,15.52%,,,,,,,,,,,669,12.69%,1508,28.61%,811,15.39%,747,14.17%,179,3.40%,4565,86.62%
2012,Dialyse,Alle,M+V,Alle (20+),Hemodialyse (HD),HD in centrum,5072,398,,,,,,,,,,,,,,,,,,5078,4774,94.01%,2749,57.58%,2812,58.90%,1076,22.54%,1993,41.75%,380,7.48%,,,,,,,651,12.82%,,,2431,47.87%,1370,26.98%,1150,22.65%,,,,,,,,,,,,,807,15.89%,,,,,,,,,,,643,12.66%,1469,28.93%,792,15.60%,727,14.32%,,,4418,87.00%
2012,Dialyse,Alle,M+V,Alle (20+),Hemodialyse (HD),HD thuis,190,15,,,,,,,,,,,,,,,,,,192,174,90.63%,83,47.70%,113,64.94%,39,22.41%,62,35.63%,12,6.25%,,,,,,,13,6.77%,,,79,41.15%,54,28.13%,17,8.85%,,,,,,,,,,,,,11,5.73%,,,,,,,,,,,26,13.54%,39,20.31%,19,9.90%,20,10.42%,,,147,76.56%
2012,Dialyse,Alle,M+V,Alle (20+),Peritoneale dialyse (PD),Alle subvormen PD,973,76,,,,,,,,,,,,,,,,,,977,900,92.12%,506,56.22%,525,58.33%,200,22.22%,316,35.11%,59,6.04%,,,,,,,65,6.65%,17,26.15%,632,64.69%,363,37.15%,196,20.06%,79,8.09%,554,56.70%,23,2.35%,91,9.31%,58,5.94%,542,55.48%,133,13.61%,,,,,,,,,,,117,11.98%,242,24.77%,151,15.46%,86,8.80%,28,2.87%,917,93.86%
2012,Dialyse,Alle,M+V,Alle (20+),Peritoneale dialyse (PD),APD,531,42,,,,,,,,,,,,,,,,,,533,499,93.62%,278,55.71%,285,57.11%,114,22.85%,163,32.67%,29,5.44%,,,,,,,31,5.82%,,,347,65.10%,200,37.52%,98,18.39%,44,8.26%,306,57.41%,12,2.25%,53,9.94%,26,4.88%,279,52.35%,63,11.82%,,,,,,,,,,,74,13.88%,121,22.70%,81,15.20%,38,7.13%,12,2.25%,496,93.06%
2012,Dialyse,Alle,M+V,Alle (20+),Peritoneale dialyse (PD),CAPD,442,35,,,,,,,,,,,,,,,,,,444,401,90.32%,228,56.86%,240,59.85%,86,21.45%,153,38.15%,30,6.76%,,,,,,,34,7.66%,,,285,64.19%,163,36.71%,98,22.07%,35,7.88%,248,55.86%,11,2.48%,38,8.56%,32,7.21%,263,59.23%,70,15.77%,,,,,,,,,,,43,9.68%,121,27.25%,70,15.77%,48,10.81%,16,3.60%,421,94.82%
