jaar;patientgroep;Provincie;geslacht;leeftijdsklasse;prevalentie_abs;prevalentie_rel;prevalentie_rel_std;incidentie_abs;incidentie_rel;incidentie_rel_std;Aantal_patienten_kosten;Zorgkosten_totaal;Zorgkosten_eerstelijns;Zorgkosten_medicatie;Zorgkosten_ziekenvervoer;Zorgkosten_GGZ;Zorgkosten_overig;Zorgkosten_DBC_RRT;Zorgkosten_DBC_overig;Zorgkosten_DBC_totaal;Noemer_overige_themas;Aantal_specialist;Pct_specialist;Aantal_cardioloog;Pct_cardioloog;Aantal_internist;Pct_internist;Aantal_dermatoloog;Pct_dermatoloog;Aantal_chirurg;Pct_chrirug;Aantal_fysiotherapeut;Pct_fysiotherapeut;Aantal_dietist;pct_dietist;Aantal_intensive_care;Pct_intensive_care;Aantal_dialyse_intensive_care;Pct_dialyse_intensive_care;Aantal_antihypertensiva_RAAS;Pct_antihypertensiva_RAAS;Aantal_antihyp_ACE_remmers;Pct_antihyp_ACE_remmers;Aantal_diabetesmed_insuline;Pct_diabetesmed_insuline;Aantal_diabetesmed_overig;Pct_diabetesmed_overig;Aantal_lipid_statine;Pct_lipid_statine;Aantal_lipid_overig;Pct_lipid_overig;Aantal_antidepressiva;Pct_antidepressiva;Aantal_slaapmedicatie;Pct_slaapmedicatie;Aantal_antistolling;Pct_antistolling;Aantal_overlijden;pct_overlijden;Aantal_procedure_vaatlijden;Pct_procedure_vaatlijden;Aantal_SEH;pct_seh;Aantal_polikliniek;Pct_polikliniek;Aantal_opname;pct_opname;biopt;pct_biopt;Aantal_maligniteit;pct_maligniteit;Aantal_macrovasculair;pct_macrovasculair;Aantal_coronair;pct_coronair;Aantal_perif_art_vaatl;Pct_perif_art_vaatl;Aantal_CVA_TIA;Pct_CVA_TIA;Aantal_hypertensie;pct_hypertensie
2012;Niertransplantatie;Alle;M+V;Alle (20+);7013;551;;;;;;;;;;;;;;;7030;6034;85.83%;1775;29.42%;2609;43.24%;2441;40.45%;1724;28.57%;477;6.79%;;;278;3.95%;14;5.04%;3954;56.24%;2638;37.52%;1049;14.92%;1217;17.31%;4496;63.95%;443;6.30%;533;7.58%;234;3.33%;2696;38.35%;219;3.12%;;;;;;;;;;;1162;16.53%;872;12.40%;503;7.16%;343;4.88%;107;1.52%;6321;89.91%
2012;Niertransplantatie;Alle;M+V;20-44 jaar;1683;322;;;;;;;;;;;;;;;1689;1266;74.96%;208;16.43%;541;42.73%;402;31.75%;295;23.30%;83;4.91%;;;43;2.55%;;;856;50.68%;606;35.88%;119;7.05%;112;6.63%;789;46.71%;55;3.26%;95;5.62%;45;2.66%;261;15.45%;12;0.71%;;;;;;;;;;;88;5.21%;62;3.67%;28;1.66%;25;1.48%;11;0.65%;1427;84.49%
2012;Niertransplantatie;Alle;M+V;45-64 jaar;3528;758;;;;;;;;;;;;;;;3537;3067;86.71%;898;29.28%;1346;43.89%;1217;39.68%;863;28.14%;218;6.16%;;;131;3.70%;;;2053;58.04%;1386;39.19%;563;15.92%;646;18.26%;2383;67.37%;271;7.66%;287;8.11%;126;3.56%;1348;38.11%;70;1.98%;;;;;;;;;;;564;15.95%;455;12.86%;280;7.92%;154;4.35%;58;1.64%;3199;90.44%
2012;Niertransplantatie;Alle;M+V;65 jaar en ouder;1802;632;;;;;;;;;;;;;;;1804;1701;94.29%;669;39.33%;722;42.45%;822;48.32%;566;33.27%;176;9.76%;;;104;5.76%;;;1045;57.93%;646;35.81%;367;20.34%;459;25.44%;1324;73.39%;117;6.49%;151;8.37%;63;3.49%;1087;60.25%;137;7.59%;;;;;;;;;;;510;28.27%;355;19.68%;195;10.81%;164;9.09%;38;2.11%;1695;93.96%
2012;Niertransplantatie;Alle;V;Alle (20+);2828;434;;;;;;;;;;;;;;;2833;2517;88.85%;660;26.22%;1141;45.33%;981;38.97%;707;28.09%;234;8.26%;;;109;3.85%;;;1406;49.63%;839;29.62%;426;15.04%;503;17.76%;1738;61.35%;192;6.78%;292;10.31%;108;3.81%;985;34.77%;89;3.14%;;;;;;;;;;;478;16.87%;283;9.99%;159;5.61%;112;3.95%;31;1.09%;2443;86.23%
2012;Niertransplantatie;Alle;V;20-44 jaar;665;254;;;;;;;;;;;;;;;667;556;83.36%;99;17.81%;247;44.42%;168;30.22%;122;21.94%;44;6.60%;;;18;2.70%;;;282;42.28%;173;25.94%;67;10.04%;52;7.80%;291;43.63%;23;3.45%;56;8.40%;24;3.60%;130;19.49%;;;;;;;;;;;;;45;6.75%;31;4.65%;16;2.40%;13;1.95%;;;516;77.36%
2012;Niertransplantatie;Alle;V;45-64 jaar;1446;622;;;;;;;;;;;;;;;1448;1285;88.74%;325;25.29%;592;46.07%;517;40.23%;354;27.55%;102;7.04%;;;49;3.38%;;;745;51.45%;455;31.42%;233;16.09%;271;18.72%;949;65.54%;116;8.01%;156;10.77%;51;3.52%;474;32.73%;;;;;;;;;;;;;254;17.54%;144;9.94%;80;5.52%;51;3.52%;;;1265;87.36%
2012;Niertransplantatie;Alle;V;65 jaar en ouder;717;454;;;;;;;;;;;;;;;718;676;94.15%;236;34.91%;302;44.67%;296;43.79%;231;34.17%;88;12.26%;;;42;5.85%;;;379;52.79%;211;29.39%;126;17.55%;180;25.07%;498;69.36%;53;7.38%;80;11.14%;33;4.60%;381;53.06%;55;7.66%;;;;;;;;;;;179;24.93%;108;15.04%;63;8.77%;48;6.69%;;;662;92.20%
2012;Niertransplantatie;Alle;M;Alle (20+);4185;673;;;;;;;;;;;;;;;4197;3517;83.80%;1115;31.70%;1468;41.74%;1460;41.51%;1017;28.92%;243;5.79%;;;169;4.03%;;;2548;60.71%;1799;42.86%;623;14.84%;714;17.01%;2758;65.71%;251;5.98%;241;5.74%;126;3.00%;1711;40.77%;130;3.10%;;;;;;;;;;;684;16.30%;589;14.03%;344;8.20%;231;5.50%;76;1.81%;3878;92.40%
2012;Niertransplantatie;Alle;M;20-44 jaar;1018;390;;;;;;;;;;;;;;;1022;710;69.47%;109;15.35%;294;41.41%;234;32.96%;173;24.37%;39;3.82%;;;25;2.45%;;;574;56.16%;433;42.37%;52;5.09%;60;5.87%;498;48.73%;32;3.13%;39;3.82%;21;2.05%;131;12.82%;;;;;;;;;;;;;43;4.21%;31;3.03%;12;1.17%;12;1.17%;;;911;89.14%
2012;Niertransplantatie;Alle;M;45-64 jaar;2082;893;;;;;;;;;;;;;;;2089;1782;85.30%;573;32.15%;754;42.31%;700;39.28%;509;28.56%;116;5.55%;;;82;3.93%;;;1308;62.61%;931;44.57%;330;15.80%;375;17.95%;1434;68.65%;155;7.42%;131;6.27%;75;3.59%;874;41.84%;;;;;;;;;;;;;310;14.84%;311;14.89%;200;9.57%;103;4.93%;;;1934;92.58%
2012;Niertransplantatie;Alle;M;65 jaar en ouder;1085;852;;;;;;;;;;;;;;;1086;1025;94.38%;433;42.24%;420;40.98%;526;51.32%;335;32.68%;88;8.10%;;;62;5.71%;;;666;61.33%;435;40.06%;241;22.19%;279;25.69%;826;76.06%;64;5.89%;71;6.54%;30;2.76%;706;65.01%;82;7.55%;;;;;;;;;;;331;30.48%;247;22.74%;132;12.15%;116;10.68%;;;1033;95.12%
2012;Niertransplantatie;Groningen;M+V;Alle (20+);233;522;531;;;;;;;;;;;;;;233;185;79.40%;43;23.24%;60;32.43%;64;34.59%;60;32.43%;12;5.15%;;;10;4.29%;;;129;55.36%;91;39.06%;31;13.30%;36;15.45%;144;61.80%;13;5.58%;18;7.73%;;;88;37.77%;;;;;;;;;;;;;38;16.31%;34;14.59%;16;6.87%;19;8.15%;;;211;90.56%
2012;Niertransplantatie;Groningen;M+V;20-44 jaar;61;324;341;;;;;;;;;;;;;;61;38;62.30%;;;;;;;;;;;;;;;;;32;52.46%;26;42.62%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;85.25%
2012;Niertransplantatie;Groningen;M+V;45-64 jaar;108;681;681;;;;;;;;;;;;;;108;91;84.26%;;;;;;;;;;;;;;;;;60;55.56%;43;39.81%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;89.81%
2012;Niertransplantatie;Groningen;M+V;65 jaar en ouder;64;640;636;;;;;;;;;;;;;;64;56;87.50%;18;32.14%;15;26.79%;22;39.29%;24;42.86%;;;;;;;;;37;57.81%;22;34.38%;11;17.19%;18;28.13%;45;70.31%;;;;;;;38;59.38%;;;;;;;;;;;;;17;26.56%;14;21.88%;;;;;;;62;96.88%
2012;Niertransplantatie;Groningen;V;Alle (20+);104;460;468;;;;;;;;;;;;;;104;89;85.58%;19;21.35%;26;29.21%;28;31.46%;33;37.08%;;;;;;;;;49;47.12%;30;28.85%;15;14.42%;18;17.31%;66;63.46%;;;;;;;;;;;;;;;;;;;;;20;19.23%;17;16.35%;;;;;;;91;87.50%
